Crime,Date,Time,Address,Lat,Lng
Assault,03/02/19,01:22 PM,3200 BLOCK OF DUFFY ST SAN BERNARDINO COUNTY,34.154267,-117.3441881
Burglary,03/02/19,01:24 PM,7200 BLOCK OF FAIRFAX DR SAN BERNARDINO COUNTY,34.1230873,-117.2576084
Other,03/02/19,03:02 PM,25200 BLOCK OF ANSON ST SAN BERNARDINO COUNTY,34.127769,-117.254525
Burglary,03/02/19,04:33 PM,7100 BLOCK OF N BARTON ST SAN BERNARDINO COUNTY,34.1211649,-117.2648903
Assault,03/02/19,05:54 PM,8100 BLOCK OF SUNNYSIDE AVE SAN BERNARDINO COUNTY,34.1064434,-117.2625552
Assault,03/02/19,02:26 AM,4200 BLOCK OF N F ST SAN BERNARDINO COUNTY,34.1720443,-117.3031387
Other,03/02/19,08:54 AM,24600 BLOCK OF 6TH ST SAN BERNARDINO COUNTY,34.1102136,-117.2675919
Theft,03/02/19,10:12 AM,1100 BLOCK OF W 48TH ST SAN BERNARDINO COUNTY,34.1717876,-117.3123912
Other,03/02/19,12:07 PM,2000 BLOCK OF W MESA ST SAN BERNARDINO COUNTY,34.1401046,-117.3356829
Other,03/02/19,12:58 AM,1900 BLOCK OF W HIGHLAND AVE SAN BERNARDINO COUNTY,34.1362431,-117.3309187
Theft,03/01/19,05:35 PM,1900 BLOCK OF W PORTER ST SAN BERNARDINO COUNTY,34.1418329,-117.3311762
Theft,03/01/19,07:15 PM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Theft,03/01/19,07:50 PM,2000 BLOCK OF W PORTER ST SAN BERNARDINO COUNTY,34.14186,-117.3356784
Other,03/01/19,11:29 PM,2300 BLOCK OF W 3RD AVE SAN BERNARDINO COUNTY,34.1651257,-117.3486147
Assault,03/01/19,01:07 PM,1100 BLOCK OF W 41ST ST SAN BERNARDINO COUNTY,34.1683748,-117.3073216
Other,03/01/19,02:20 PM,2200 BLOCK OF W KERN ST SAN BERNARDINO COUNTY,34.1546252,-117.3444052
Theft,03/01/19,04:07 PM,E HILLSIDE DR/N FAIRFAX DR SAN BERNARDINO COUNTY,34.1327393,-117.2576154
Burglary,03/01/19,05:35 PM,1900 BLOCK OF W PORTER ST SAN BERNARDINO COUNTY,34.1418329,-117.3311762
Other,03/01/19,07:04 PM,5400 BLOCK OF N ELMWOOD RD SAN BERNARDINO COUNTY,34.1558094,-117.2520727
Vandalism,03/01/19,07:13 AM,24600 BLOCK OF 6TH ST SAN BERNARDINO COUNTY,34.1102136,-117.2675919
Other,03/01/19,09:39 AM,2900 BLOCK OF N STATE ST SAN BERNARDINO COUNTY,34.148944,-117.3358721
Other,03/01/19,10:09 AM,1300 BLOCK OF E MARSHALL BLVD SAN BERNARDINO COUNTY,34.1497075,-117.2582079
Other,02/28/19,09:14 PM,WHITLOCK AVE/5TH ST SAN BERNARDINO COUNTY,34.1083399,-117.2638893
Theft,02/28/19,12:40 PM,1100 BLOCK OF N GRAND AVE SAN BERNARDINO COUNTY,34.0016361,-117.8125724
Theft,02/28/19,03:54 PM,2100 BLOCK OF W KERN ST SAN BERNARDINO COUNTY,34.1542185,-117.3398301
Arrest,02/28/19,04:27 PM,900 BLOCK OF W KENDALL DR SAN BERNARDINO COUNTY,34.1618116,-117.3003233
Other,02/28/19,04:28 PM,5400 BLOCK OF N ELMWOOD RD SAN BERNARDINO COUNTY,34.1558094,-117.2520727
Assault,02/28/19,04:29 PM,6600 BLOCK OF MERITO AVE SAN BERNARDINO COUNTY,34.1340053,-117.2478421
Assault,02/28/19,04:43 PM,25200 BLOCK OF BESSANT ST SAN BERNARDINO COUNTY,34.1246204,-117.2543995
Other,02/28/19,06:17 PM,5900 BLOCK OF N IRONWOOD ST SAN BERNARDINO COUNTY,34.1467206,-117.2494693
Theft,02/28/19,07:15 AM,25500 BLOCK OF 17TH ST SAN BERNARDINO COUNTY,34.1297653,-117.2501974
Theft,02/28/19,10:00 AM,3100 BLOCK OF DUFFY ST SAN BERNARDINO COUNTY,34.1522798,-117.3442724
Theft,02/28/19,10:11 AM,18800 BLOCK OF W CAJON BLVD SAN BERNARDINO COUNTY,34.2147761,-117.3940455
Other,02/28/19,12:00 PM,4200 BLOCK OF CEDAR DR SAN BERNARDINO COUNTY,34.1720668,-117.3084134
Arrest,02/27/19,04:59 PM,1100 BLOCK OF W 48TH ST SAN BERNARDINO COUNTY,34.1717876,-117.3123912
Other,02/27/19,07:21 PM,23800 BLOCK OF PRADO LN SAN BERNARDINO COUNTY,34.0413831,-117.2845324
Assault,02/27/19,07:53 PM,5400 BLOCK OF N ELMWOOD RD SAN BERNARDINO COUNTY,34.1558094,-117.2520727
Theft,02/27/19,10:14 PM,23900 BLOCK OF PRADO LN SAN BERNARDINO COUNTY,34.0414916,-117.2825252
Theft,02/27/19,12:23 PM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Theft,02/27/19,02:20 PM,2000 BLOCK OF W ADAMS ST SAN BERNARDINO COUNTY,34.1378737,-117.3354604
Theft,02/27/19,09:14 AM,3100 BLOCK OF DUFFY ST SAN BERNARDINO COUNTY,34.1522798,-117.3442724
Assault,02/26/19,08:08 PM,N STERLING AVE/E HIGHLAND AVE SAN BERNARDINO COUNTY,34.1358584,-117.2436702
Assault,02/26/19,10:39 PM,1600 BLOCK OF DEVORE RD SAN BERNARDINO COUNTY,34.2251847,-117.4040271
